Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"FS","Suite of Food Security Indicators","586","Pakistan","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20002002","2000-2002","%","108","E","Estimated value",""
"FS","Suite of Food Security Indicators","586","Pakistan","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20012003","2001-2003","%","105","E","Estimated value",""
"FS","Suite of Food Security Indicators","586","Pakistan","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20022004","2002-2004","%","105","E","Estimated value",""
"FS","Suite of Food Security Indicators","586","Pakistan","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20032005","2003-2005","%","106","E","Estimated value",""
"FS","Suite of Food Security Indicators","586","Pakistan","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20042006","2004-2006","%","106","E","Estimated value",""
"FS","Suite of Food Security Indicators","586","Pakistan","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20052007","2005-2007","%","106","E","Estimated value",""
"FS","Suite of Food Security Indicators","586","Pakistan","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20062008","2006-2008","%","107","E","Estimated value",""
"FS","Suite of Food Security Indicators","586","Pakistan","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20072009","2007-2009","%","107","E","Estimated value",""
"FS","Suite of Food Security Indicators","586","Pakistan","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20082010","2008-2010","%","106","E","Estimated value",""
"FS","Suite of Food Security Indicators","586","Pakistan","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20092011","2009-2011","%","106","E","Estimated value",""
"FS","Suite of Food Security Indicators","586","Pakistan","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20102012","2010-2012","%","106","E","Estimated value",""
"FS","Suite of Food Security Indicators","586","Pakistan","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20112013","2011-2013","%","106","E","Estimated value",""
"FS","Suite of Food Security Indicators","586","Pakistan","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20122014","2012-2014","%","106","E","Estimated value",""
"FS","Suite of Food Security Indicators","586","Pakistan","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20132015","2013-2015","%","107","E","Estimated value",""
"FS","Suite of Food Security Indicators","586","Pakistan","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20142016","2014-2016","%","108","E","Estimated value",""
"FS","Suite of Food Security Indicators","586","Pakistan","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20152017","2015-2017","%","110","E","Estimated value",""
"FS","Suite of Food Security Indicators","586","Pakistan","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20162018","2016-2018","%","110","E","Estimated value",""
"FS","Suite of Food Security Indicators","586","Pakistan","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20172019","2017-2019","%","111","E","Estimated value",""
"FS","Suite of Food Security Indicators","586","Pakistan","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20182020","2018-2020","%","111","E","Estimated value",""
"FS","Suite of Food Security Indicators","586","Pakistan","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20192021","2019-2021","%","114","E","Estimated value",""
"FS","Suite of Food Security Indicators","586","Pakistan","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20202022","2020-2022","%","113","E","Estimated value",""
"FS","Suite of Food Security Indicators","586","Pakistan","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20212023","2021-2023","%","113","E","Estimated value",""
"FS","Suite of Food Security Indicators","586","Pakistan","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20222024","2022-2024","%","112","E","Estimated value",""
"FS","Suite of Food Security Indicators","586","Pakistan","6128","Value","220001","Dietary energy supply used in the estimation of the prevalence of undernourishment (kcal/cap/day)","2001","2001","kcal/cap/d","2326","E","Estimated value",""
"FS","Suite of Food Security Indicators","586","Pakistan","6128","Value","220001","Dietary energy supply used in the estimation of the prevalence of undernourishment (kcal/cap/day)","2002","2002","kcal/cap/d","2257","E","Estimated value",""
"FS","Suite of Food Security Indicators","586","Pakistan","6128","Value","220001","Dietary energy supply used in the estimation of the prevalence of undernourishment (kcal/cap/day)","2003","2003","kcal/cap/d","2302","E","Estimated value",""
"FS","Suite of Food Security Indicators","586","Pakistan","6128","Value","220001","Dietary energy supply used in the estimation of the prevalence of undernourishment (kcal/cap/day)","2004","2004","kcal/cap/d","2317","E","Estimated value",""
"FS","Suite of Food Security Indicators","586","Pakistan","6128","Value","220001","Dietary energy supply used in the estimation of the prevalence of undernourishment (kcal/cap/day)","2005","2005","kcal/cap/d","2325","E","Estimated value",""
"FS","Suite of Food Security Indicators","586","Pakistan","6128","Value","220001","Dietary energy supply used in the estimation of the prevalence of undernourishment (kcal/cap/day)","2006","2006","kcal/cap/d","2336","E","Estimated value",""
"FS","Suite of Food Security Indicators","586","Pakistan","6128","Value","220001","Dietary energy supply used in the estimation of the prevalence of undernourishment (kcal/cap/day)","2007","2007","kcal/cap/d","2364","E","Estimated value",""
"FS","Suite of Food Security Indicators","586","Pakistan","6128","Value","220001","Dietary energy supply used in the estimation of the prevalence of undernourishment (kcal/cap/day)","2008","2008","kcal/cap/d","2357","E","Estimated value",""
"FS","Suite of Food Security Indicators","586","Pakistan","6128","Value","220001","Dietary energy supply used in the estimation of the prevalence of undernourishment (kcal/cap/day)","2009","2009","kcal/cap/d","2354","E","Estimated value",""
"FS","Suite of Food Security Indicators","586","Pakistan","6128","Value","220001","Dietary energy supply used in the estimation of the prevalence of undernourishment (kcal/cap/day)","2010","2010","kcal/cap/d","2349","E","Estimated value",""
"FS","Suite of Food Security Indicators","586","Pakistan","6128","Value","220001","Dietary energy supply used in the estimation of the prevalence of undernourishment (kcal/cap/day)","2011","2011","kcal/cap/d","2353","E","Estimated value",""
"FS","Suite of Food Security Indicators","586","Pakistan","6128","Value","220001","Dietary energy supply used in the estimation of the prevalence of undernourishment (kcal/cap/day)","2012","2012","kcal/cap/d","2357","E","Estimated value",""
"FS","Suite of Food Security Indicators","586","Pakistan","6128","Value","220001","Dietary energy supply used in the estimation of the prevalence of undernourishment (kcal/cap/day)","2013","2013","kcal/cap/d","2366","E","Estimated value",""
"FS","Suite of Food Security Indicators","586","Pakistan","6128","Value","220001","Dietary energy supply used in the estimation of the prevalence of undernourishment (kcal/cap/day)","2014","2014","kcal/cap/d","2355","E","Estimated value",""
"FS","Suite of Food Security Indicators","586","Pakistan","6128","Value","220001","Dietary energy supply used in the estimation of the prevalence of undernourishment (kcal/cap/day)","2015","2015","kcal/cap/d","2379","E","Estimated value",""
"FS","Suite of Food Security Indicators","586","Pakistan","6128","Value","220001","Dietary energy supply used in the estimation of the prevalence of undernourishment (kcal/cap/day)","2016","2016","kcal/cap/d","2438","E","Estimated value",""
"FS","Suite of Food Security Indicators","586","Pakistan","6128","Value","220001","Dietary energy supply used in the estimation of the prevalence of undernourishment (kcal/cap/day)","2017","2017","kcal/cap/d","2523","E","Estimated value",""
"FS","Suite of Food Security Indicators","586","Pakistan","6128","Value","220001","Dietary energy supply used in the estimation of the prevalence of undernourishment (kcal/cap/day)","2018","2018","kcal/cap/d","2369","E","Estimated value",""
"FS","Suite of Food Security Indicators","586","Pakistan","6128","Value","220001","Dietary energy supply used in the estimation of the prevalence of undernourishment (kcal/cap/day)","2019","2019","kcal/cap/d","2527","E","Estimated value",""
"FS","Suite of Food Security Indicators","586","Pakistan","6128","Value","220001","Dietary energy supply used in the estimation of the prevalence of undernourishment (kcal/cap/day)","2020","2020","kcal/cap/d","2520","E","Estimated value",""
"FS","Suite of Food Security Indicators","586","Pakistan","6128","Value","220001","Dietary energy supply used in the estimation of the prevalence of undernourishment (kcal/cap/day)","2021","2021","kcal/cap/d","2588","E","Estimated value",""
"FS","Suite of Food Security Indicators","586","Pakistan","6128","Value","220001","Dietary energy supply used in the estimation of the prevalence of undernourishment (kcal/cap/day)","2022","2022","kcal/cap/d","2466","E","Estimated value",""
"FS","Suite of Food Security Indicators","586","Pakistan","6128","Value","220001","Dietary energy supply used in the estimation of the prevalence of undernourishment (kcal/cap/day)","2023","2023","kcal/cap/d","2514","E","Estimated value",""
"FS","Suite of Food Security Indicators","586","Pakistan","6128","Value","22000","Dietary energy supply used in the estimation of the prevalence of undernourishment (kcal/cap/day) (3-year average)","20002002","2000-2002","kcal/cap/d","2334","E","Estimated value",""
"FS","Suite of Food Security Indicators","586","Pakistan","6128","Value","22000","Dietary energy supply used in the estimation of the prevalence of undernourishment (kcal/cap/day) (3-year average)","20012003","2001-2003","kcal/cap/d","2295","E","Estimated value",""
"FS","Suite of Food Security Indicators","586","Pakistan","6128","Value","22000","Dietary energy supply used in the estimation of the prevalence of undernourishment (kcal/cap/day) (3-year average)","20022004","2002-2004","kcal/cap/d","2292","E","Estimated value",""
"FS","Suite of Food Security Indicators","586","Pakistan","6128","Value","22000","Dietary energy supply used in the estimation of the prevalence of undernourishment (kcal/cap/day) (3-year average)","20032005","2003-2005","kcal/cap/d","2315","E","Estimated value",""
"FS","Suite of Food Security Indicators","586","Pakistan","6128","Value","22000","Dietary energy supply used in the estimation of the prevalence of undernourishment (kcal/cap/day) (3-year average)","20042006","2004-2006","kcal/cap/d","2326","E","Estimated value",""
"FS","Suite of Food Security Indicators","586","Pakistan","6128","Value","22000","Dietary energy supply used in the estimation of the prevalence of undernourishment (kcal/cap/day) (3-year average)","20052007","2005-2007","kcal/cap/d","2342","E","Estimated value",""
"FS","Suite of Food Security Indicators","586","Pakistan","6128","Value","22000","Dietary energy supply used in the estimation of the prevalence of undernourishment (kcal/cap/day) (3-year average)","20062008","2006-2008","kcal/cap/d","2353","E","Estimated value",""
"FS","Suite of Food Security Indicators","586","Pakistan","6128","Value","22000","Dietary energy supply used in the estimation of the prevalence of undernourishment (kcal/cap/day) (3-year average)","20072009","2007-2009","kcal/cap/d","2358","E","Estimated value",""
"FS","Suite of Food Security Indicators","586","Pakistan","6128","Value","22000","Dietary energy supply used in the estimation of the prevalence of undernourishment (kcal/cap/day) (3-year average)","20082010","2008-2010","kcal/cap/d","2353","E","Estimated value",""
"FS","Suite of Food Security Indicators","586","Pakistan","6128","Value","22000","Dietary energy supply used in the estimation of the prevalence of undernourishment (kcal/cap/day) (3-year average)","20092011","2009-2011","kcal/cap/d","2352","E","Estimated value",""
"FS","Suite of Food Security Indicators","586","Pakistan","6128","Value","22000","Dietary energy supply used in the estimation of the prevalence of undernourishment (kcal/cap/day) (3-year average)","20102012","2010-2012","kcal/cap/d","2353","E","Estimated value",""
"FS","Suite of Food Security Indicators","586","Pakistan","6128","Value","22000","Dietary energy supply used in the estimation of the prevalence of undernourishment (kcal/cap/day) (3-year average)","20112013","2011-2013","kcal/cap/d","2359","E","Estimated value",""
"FS","Suite of Food Security Indicators","586","Pakistan","6128","Value","22000","Dietary energy supply used in the estimation of the prevalence of undernourishment (kcal/cap/day) (3-year average)","20122014","2012-2014","kcal/cap/d","2359","E","Estimated value",""
"FS","Suite of Food Security Indicators","586","Pakistan","6128","Value","22000","Dietary energy supply used in the estimation of the prevalence of undernourishment (kcal/cap/day) (3-year average)","20132015","2013-2015","kcal/cap/d","2367","E","Estimated value",""
"FS","Suite of Food Security Indicators","586","Pakistan","6128","Value","22000","Dietary energy supply used in the estimation of the prevalence of undernourishment (kcal/cap/day) (3-year average)","20142016","2014-2016","kcal/cap/d","2391","E","Estimated value",""
